customer_id,name,gender,past_3_years_bike_related_purchases,DOB,age,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure
1509,Sibley Janek,U,10,,123.00 ,Computer Systems Analyst I,IT,High Net Worth,N,Yes,
1583,Krysta O' Reagan,U,18,,123.00 ,Geologist IV,IT,Mass Customer,N,Yes,
1628,Hermione Brereton,U,13,,123.00 ,Assistant Manager,IT,Mass Customer,N,No,
1683,Brenn Bacon,U,72,,123.00 ,Budget/Accounting Analyst I,IT,Mass Customer,N,Yes,
1740,Faythe Janaszewski,U,83,,123.00 ,Research Associate,IT,Mass Customer,N,Yes,
1773,Nickolas Guittet,U,82,,123.00 ,,IT,Mass Customer,N,Yes,
1780,Maude Tixier,U,52,,123.00 ,Research Associate,IT,Mass Customer,N,No,
1806,Gil De Gregorio,U,95,,123.00 ,Software Test Engineer IV,IT,Mass Customer,N,No,
1918,Devin Sandeson,U,83,,123.00 ,Staff Accountant II,IT,Affluent Customer,N,No,
1938,Austin Toopin,U,47,,123.00 ,Automation Specialist IV,IT,Mass Customer,N,Yes,
1990,Mira Askham,U,9,,123.00 ,Senior Financial Analyst,Financial Services,High Net Worth,N,No,
2000,Kain Rene,U,68,,123.00 ,Assistant Professor,IT,High Net Worth,N,Yes,
2021,Ulrica Abelwhite,U,31,,123.00 ,Software Test Engineer I,IT,High Net Worth,N,Yes,
2069,Sol Holdron,U,32,,123.00 ,Software Test Engineer IV,IT,Mass Customer,N,Yes,
2165,Marlie Teesdale,U,16,,123.00 ,Civil Engineer,Manufacturing,Affluent Customer,N,No,
2205,Birk Elphey,U,76,,123.00 ,Accounting Assistant III,IT,Mass Customer,N,No,
2252,Darcey Annis,U,31,,123.00 ,Teacher,IT,High Net Worth,N,Yes,
2295,Farris Hazelby,U,35,,123.00 ,Internal Auditor,IT,Mass Customer,N,Yes,
2335,Payton Sheach,U,42,,123.00 ,Account Executive,IT,Mass Customer,N,No,
2341,Caterina Scedall,U,41,,123.00 ,Web Designer II,IT,Mass Customer,N,Yes,
2414,Basile Bowlas,U,18,,123.00 ,Registered Nurse,Health,Mass Customer,N,Yes,
2426,Yancy Ovett,U,64,,123.00 ,,IT,Affluent Customer,N,Yes,
2469,Kermie Hedger,U,18,,123.00 ,Accounting Assistant II,IT,Mass Customer,N,Yes,
2540,Donavon ,U,14,,123.00 ,Executive Secretary,IT,Mass Customer,N,Yes,
2642,Arabelle Rentelll,U,36,,123.00 ,VP Accounting,Financial Services,High Net Worth,N,No,
2647,Marcelia Blannin,U,1,,123.00 ,Physical Therapy Assistant,IT,High Net Worth,N,No,
2696,Isabelle Bursnoll,U,42,,123.00 ,Social Worker,Health,Mass Customer,N,Yes,
2697,Klarika Yerby,U,70,,123.00 ,Legal Assistant,IT,High Net Worth,N,No,
2854,Vikky Dyde,U,49,,123.00 ,Project Manager,IT,High Net Worth,N,Yes,
2920,Casar Ritchley,U,0,,123.00 ,Business Systems Development Analyst,IT,Mass Customer,N,Yes,
2963,Christin Fricke,U,17,,123.00 ,Safety Technician II,IT,Affluent Customer,N,Yes,
2999,Rinaldo Diggin,U,28,,123.00 ,Business Systems Development Analyst,IT,Affluent Customer,N,Yes,
3012,Devland Probart,U,81,,123.00 ,Technical Writer,IT,Mass Customer,N,Yes,
3086,Pieter Gadesby,U,18,,123.00 ,Biostatistician I,IT,High Net Worth,N,No,
3151,Thorn Choffin,U,20,,123.00 ,Senior Developer,IT,Affluent Customer,N,Yes,
3222,Caralie Sellors,U,40,,123.00 ,Senior Editor,IT,Affluent Customer,N,No,
3223,Tiffi Wortt,U,44,,123.00 ,Database Administrator III,IT,Mass Customer,N,Yes,
3255,Sutherlan Truin,U,47,,123.00 ,Engineer IV,IT,High Net Worth,N,No,
3288,Fair Dewen,U,47,,123.00 ,Engineer III,IT,High Net Worth,N,No,
3298,Christine Baignard,U,1,,123.00 ,VP Quality Control,IT,Affluent Customer,N,Yes,
3312,Franky Nanninini,U,49,,123.00 ,Administrative Officer,IT,High Net Worth,N,No,
3322,Hew Sworder,U,24,,123.00 ,Financial Analyst,Financial Services,Affluent Customer,N,Yes,
3343,Cristabel Bim,U,3,,123.00 ,Recruiter,IT,Mass Customer,N,Yes,
3365,Karlens Chaffyn,U,29,,123.00 ,Engineer III,IT,Mass Customer,N,No,
3473,Sanderson Alloway,U,34,,123.00 ,Analog Circuit Design manager,IT,Mass Customer,N,No,
3510,Jemima Izaac,U,48,,123.00 ,Safety Technician II,IT,Affluent Customer,N,Yes,
3513,Enriqueta Waterhowse,U,80,,123.00 ,Internal Auditor,IT,Affluent Customer,N,Yes,
3565,Charyl Pottiphar,U,14,,123.00 ,Structural Engineer,IT,High Net Worth,N,Yes,
3654,Kenyon Paddefield,U,78,,123.00 ,Electrical Engineer,Manufacturing,Mass Customer,N,No,
3718,Damiano ,U,22,,123.00 ,Geologist IV,IT,Mass Customer,N,Yes,
3727,Eba Youle,U,65,,123.00 ,Assistant Professor,IT,Mass Customer,N,No,
3779,Ulick Daspar,U,68,,123.00 ,,IT,Affluent Customer,N,No,
3883,Nissa Conrad,U,35,,123.00 ,Legal Assistant,IT,Mass Customer,N,No,
3931,Kylie Epine,U,19,,123.00 ,,IT,High Net Worth,N,Yes,
3935,Teodor Alfonsini,U,72,,123.00 ,,IT,High Net Worth,N,Yes,
3998,Sarene Woolley,U,60,,123.00 ,Assistant Manager,IT,High Net Worth,N,No,
720,Darrel Canet,Male,67,1931-10-23,91.00 ,Recruiting Manager,Retail,Affluent Customer,N,No,6
1092,Katlin Creddon,Female,56,1935-08-22,88.00 ,VP Quality Control,Retail,Mass Customer,N,No,5
3410,Merrili Brittin,Female,93,1940-09-22,83.00 ,NA,Property,Mass Customer,N,No,16
658,Donn Bonnell,Male,38,1944-01-24,79.00 ,Tax Accountant,Manufacturing,Affluent Customer,N,Yes,8
2413,Abbey Murrow,Male,27,1943-08-11,80.00 ,Environmental Specialist,Manufacturing,High Net Worth,N,Yes,17
1,Laraine Medendorp,Female,93,1953-10-12,69.00 ,Executive Secretary,Health,Mass Customer,N,Yes,11
3,Arlin Dearle,Male,61,1954-01-20,69.00 ,Recruiting Manager,Property,Mass Customer,N,Yes,15
11,Uriah Bisatt,Male,99,1954-04-30,69.00 ,NA,Property,Mass Customer,N,No,9
53,Agnella Gocke,Female,22,1954-04-18,69.00 ,Software Test Engineer II,Financial Services,Mass Customer,N,No,16
187,Pincas Ather,Male,97,1954-01-28,69.00 ,Structural Engineer,n/a,Mass Customer,N,No,11
220,Jeniffer Apark,Female,79,1954-05-10,69.00 ,Electrical Engineer,Manufacturing,High Net Worth,N,No,9
255,Keeley Kruger,Female,2,1954-01-15,69.00 ,Desktop Support Technician,IT,Mass Customer,N,No,5
366,Constance Ucchino,Female,7,1954-01-08,69.00 ,Librarian,Entertainment,High Net Worth,N,No,19
425,Michaeline Bordman,Female,60,1953-11-19,69.00 ,Sales Representative,Retail,Mass Customer,N,Yes,20
467,Welbie Rockliffe,Male,51,1954-01-02,69.00 ,Human Resources Assistant I,Property,Affluent Customer,N,No,15
560,Dorree Sanja,Female,1,1953-10-11,69.00 ,Social Worker,Health,Affluent Customer,N,No,8
719,Pattin Weathey,Male,2,1953-12-30,69.00 ,Administrative Officer,Retail,Mass Customer,N,No,14
846,Alvan Rebichon,Male,60,1954-03-25,69.00 ,Geologist I,Manufacturing,Affluent Customer,N,No,17
984,Luciano Weddup,Male,89,1954-03-25,69.00 ,Programmer I,Manufacturing,Affluent Customer,N,No,16
1177,Bobbette Pozzi,Female,47,1953-08-31,70.00 ,Food Chemist,Health,Affluent Customer,N,Yes,6
1243,Robbert Blakey,Male,73,1953-08-09,70.00 ,Research Assistant II,Retail,Mass Customer,N,No,8
1565,Jay Janiszewski,Male,71,1953-08-17,70.00 ,Sales Representative,Retail,High Net Worth,N,Yes,11
1815,Bab Bingall,Female,23,1954-03-26,69.00 ,Software Test Engineer I,Agriculture,Mass Customer,N,Yes,19
1905,Corabelle ,Female,21,1953-09-17,70.00 ,Help Desk Technician,Manufacturing,Affluent Customer,N,No,15
1915,Dusty Tesimon,Female,40,1953-10-12,69.00 ,Social Worker,Health,Mass Customer,N,Yes,12
1949,Onida Cockshot,Female,9,1954-05-10,69.00 ,Legal Assistant,Manufacturing,Mass Customer,N,No,7
2019,Neda Perkis,Female,48,1953-09-13,70.00 ,VP Marketing,Entertainment,High Net Worth,N,No,17
2178,Veriee Colthard,Female,20,1954-03-18,69.00 ,Mechanical Systems Engineer,Retail,Mass Customer,N,No,12
2208,Lavena Embling,Female,59,1954-05-07,69.00 ,NA,n/a,Mass Customer,N,No,9
2283,Gaspar Janaway,Male,44,1954-02-08,69.00 ,Software Consultant,n/a,High Net Worth,N,No,16
2482,Regan Siemens,Male,95,1953-12-10,69.00 ,Pharmacist,Health,Mass Customer,N,Yes,10
2486,Alaine Halbord,Female,77,1954-03-09,69.00 ,Structural Engineer,Manufacturing,Mass Customer,N,Yes,5
2495,Gwenore Suero,Female,89,1953-11-12,69.00 ,Assistant Professor,IT,Affluent Customer,N,No,17
2529,Ben Laidler,Male,81,1954-05-11,69.00 ,Quality Engineer,Manufacturing,High Net Worth,N,Yes,10
2599,Pauly Eilles,Female,9,1954-05-03,69.00 ,VP Marketing,Manufacturing,Mass Customer,N,No,5
2610,Arliene Bartolijn,Female,41,1954-04-30,69.00 ,Account Coordinator,IT,Mass Customer,N,No,10
2746,Carmelia Egle of Germany,Female,97,1953-10-25,69.00 ,Actuary,Financial Services,High Net Worth,N,Yes,7
2813,Lillian Crookall,Female,51,1953-09-10,70.00 ,Chemical Engineer,Manufacturing,Mass Customer,N,Yes,11
2959,Max Gonthier,Female,1,1953-11-23,69.00 ,Registered Nurse,Health,Mass Customer,N,Yes,11
3100,Peggy Wrankling,Female,19,1954-02-09,69.00 ,Recruiter,n/a,Mass Customer,N,No,7
3103,Shaylah Hatchell,Female,5,1953-10-21,69.00 ,Safety Technician II,Retail,Mass Customer,N,No,20
3259,Rabi ,Male,74,1953-11-04,69.00 ,Quality Control Specialist,n/a,High Net Worth,N,No,10
3370,Brant Follis,Male,8,1954-01-22,69.00 ,Data Coordiator,n/a,High Net Worth,N,Yes,5
3393,Henrietta Olexa,Female,23,1954-02-21,69.00 ,Technical Writer,Retail,Mass Customer,N,Yes,7
3455,Coop Skey,Male,29,1954-02-25,69.00 ,Administrative Officer,n/a,Mass Customer,N,Yes,11
3471,Brita Afonso,Female,95,1953-09-05,70.00 ,Quality Engineer,IT,High Net Worth,N,Yes,8
3592,Pall MacCart,Male,72,1954-04-27,69.00 ,Junior Executive,n/a,Mass Customer,N,No,12
3625,Cammie Rubinfeld,Female,24,1953-11-30,69.00 ,VP Marketing,Manufacturing,High Net Worth,N,Yes,18
3648,Tracie Bartolomeoni,Female,82,1954-02-21,69.00 ,Paralegal,Financial Services,Mass Customer,N,No,5
3806,Ado Gailor,Male,1,1954-02-08,69.00 ,NA,Property,Mass Customer,N,No,7
3911,Valeda Ezele,Female,81,1954-05-25,69.00 ,Recruiting Manager,n/a,Mass Customer,N,No,5
13,Gabriele Norcross,Male,38,1955-02-15,68.00 ,Developer I,Financial Services,High Net Worth,N,Yes,8
91,Dylan Meaker,Male,69,1955-02-24,68.00 ,Senior Financial Analyst,Financial Services,Affluent Customer,N,Yes,17
141,Townsend Trobe,Male,67,1954-06-25,69.00 ,Teacher,Financial Services,High Net Worth,N,Yes,10
206,Mari Chevolleau,Female,98,1954-07-19,69.00 ,Statistician I,n/a,Mass Customer,N,Yes,14
230,Maegan Scyone,Female,74,1954-06-24,69.00 ,Internal Auditor,Property,High Net Worth,N,No,11
236,Tybalt Gillingwater,Male,79,1954-10-30,68.00 ,Research Nurse,Health,Affluent Customer,N,No,14
269,Zacherie Grindley,Male,55,1954-09-19,69.00 ,Nurse Practicioner,Property,Mass Customer,N,Yes,9
371,Pernell Favelle,Male,7,1954-07-06,69.00 ,Systems Administrator III,Financial Services,Mass Customer,N,No,7
393,Cesaro Isbell,Male,35,1955-02-08,68.00 ,Associate Professor,Manufacturing,Mass Customer,N,Yes,9
415,Conchita Jeans,Female,20,1955-05-31,68.00 ,Senior Financial Analyst,Financial Services,Affluent Customer,N,Yes,18
512,Sigfried Semken,Male,76,1955-04-15,68.00 ,VP Accounting,Financial Services,Mass Customer,N,No,6
534,Madel Palffrey,Female,2,1954-08-16,69.00 ,Systems Administrator I,n/a,Mass Customer,N,No,12
554,Esmaria Dobbison,Female,33,1955-05-06,68.00 ,Graphic Designer,Health,Mass Customer,N,Yes,7
597,Cassandra Aucoate,Female,6,1954-12-10,68.00 ,Recruiter,Manufacturing,Mass Customer,N,No,6
674,Dalila Rosel,Female,61,1954-08-22,69.00 ,Developer II,n/a,Mass Customer,N,No,5
686,Hallie Le feaver,Female,60,1954-07-17,69.00 ,GIS Technical Architect,Agriculture,High Net Worth,N,Yes,5
691,Carver Carwardine,Male,29,1954-08-25,69.00 ,NA,Financial Services,Affluent Customer,N,Yes,5
794,Scott Ommundsen,Male,99,1955-05-12,68.00 ,Compensation Analyst,Financial Services,Affluent Customer,N,Yes,16
1012,Anna-diane Preddle,Female,20,1955-05-20,68.00 ,Software Test Engineer III,n/a,High Net Worth,N,Yes,11
1015,Toiboid Sorrel,Male,7,1955-04-01,68.00 ,Web Developer I,Health,Mass Customer,N,No,17
1143,Goraud Boissieux,Male,64,1955-03-06,68.00 ,Office Assistant IV,Health,Mass Customer,N,Yes,6
1352,Jerald Lesly,Male,53,1954-12-28,68.00 ,Electrical Engineer,Manufacturing,High Net Worth,N,No,18
1541,Dynah Grimes,Female,7,1954-12-28,68.00 ,Structural Engineer,Agriculture,Mass Customer,N,Yes,13
1610,Valaree Chisolm,Female,75,1955-02-10,68.00 ,Structural Engineer,n/a,High Net Worth,N,Yes,9
1667,Jaime Simonnin,Male,67,1955-02-18,68.00 ,Geological Engineer,Manufacturing,High Net Worth,N,No,18
1710,Matilde MacKeeg,Female,49,1954-06-30,69.00 ,Health Coach IV,Health,High Net Worth,N,No,17
1739,Burnaby Stiffkins,Male,20,1954-10-06,68.00 ,Software Consultant,Entertainment,Mass Customer,N,No,7
1807,Pollyanna Serjeantson,Female,45,1955-03-15,68.00 ,Help Desk Operator,n/a,High Net Worth,N,Yes,16
1836,Rochella Harce,Female,54,1955-06-05,68.00 ,Research Nurse,Health,Mass Customer,N,Yes,13
1878,Pen Hedgecock,Male,6,1954-11-06,68.00 ,Account Coordinator,Health,Affluent Customer,N,No,10
1978,Marge Skerm,Female,53,1955-01-06,68.00 ,Dental Hygienist,Health,Mass Customer,N,No,16
2050,Opal Costa,Female,22,1954-06-26,69.00 ,Business Systems Development Analyst,n/a,Mass Customer,N,Yes,5
2114,Erick Caveill,Male,78,1954-11-29,68.00 ,Safety Technician III,Agriculture,High Net Worth,N,No,19
2361,Jeannette Cerman,Female,55,1954-11-28,68.00 ,Help Desk Operator,n/a,High Net Worth,N,Yes,20
2421,Marilee Garbott,Female,54,1954-08-16,69.00 ,Research Nurse,Health,Affluent Customer,N,Yes,13
2506,Arlana Ferrick,Female,97,1955-01-20,68.00 ,NA,Health,Affluent Customer,N,No,9
2518,Krystalle Ives,Female,53,1954-08-22,69.00 ,Recruiting Manager,n/a,Mass Customer,N,Yes,19
2573,Tera Van Weedenburg,Female,72,1954-09-23,69.00 ,Software Engineer I,n/a,Mass Customer,N,No,10
2677,Zollie Exell,Male,34,1954-10-08,68.00 ,NA,Financial Services,Mass Customer,N,No,10
2713,Hadlee Mackro,Male,55,1954-11-03,68.00 ,Statistician II,Retail,Affluent Customer,N,Yes,5
2758,Fabien Whittlesea,Male,17,1955-05-24,68.00 ,NA,Manufacturing,Affluent Customer,N,No,19
2764,Callie Coltart,Female,12,1955-03-29,68.00 ,NA,Financial Services,Mass Customer,N,Yes,20
2772,Reynolds Vreede,Male,15,1954-10-25,68.00 ,Quality Engineer,Property,Affluent Customer,N,Yes,13
2815,Emery Carlett,Male,50,1954-10-30,68.00 ,NA,Health,Mass Customer,N,No,19
2950,Kristos Anthony,Male,19,1955-01-11,68.00 ,Software Engineer I,Financial Services,Mass Customer,N,Yes,10
3004,Waylon Hammant,Male,82,1955-02-20,68.00 ,Research Assistant II,Health,Mass Customer,N,Yes,16
3166,Bronson Plowman,Male,96,1955-05-11,68.00 ,Social Worker,Health,Mass Customer,N,No,20
3372,Orazio Wissby,Male,62,1954-09-25,68.00 ,NA,Telecommunications,High Net Worth,N,No,15
3380,Abe Ealam,Male,41,1955-01-09,68.00 ,Speech Pathologist,Manufacturing,High Net Worth,N,Yes,14
3507,Christoph Greatreax,Male,70,1955-03-03,68.00 ,Physical Therapy Assistant,Financial Services,Mass Customer,N,No,5
3540,Ali Naris,Male,49,1954-08-27,69.00 ,NA,n/a,Mass Customer,N,Yes,7
3558,Torey Sarney,Male,16,1954-09-05,69.00 ,NA,n/a,High Net Worth,N,Yes,7
3597,Giorgi ,Male,71,1954-06-16,69.00 ,Analog Circuit Design manager,Property,Affluent Customer,N,Yes,16
3603,Cale Yaneev,Male,90,1954-09-27,68.00 ,Sales Representative,Retail,Mass Customer,N,Yes,14
3652,Aldrich Camble,Male,20,1955-02-06,68.00 ,Nurse,Health,High Net Worth,N,Yes,17
3668,Katlin Ragsdale,Female,79,1955-02-09,68.00 ,Desktop Support Technician,Property,Mass Customer,N,Yes,6
3709,Lilly Roubay,Female,31,1955-03-31,68.00 ,GIS Technical Architect,Health,Mass Customer,N,No,8
3830,Jareb Filippucci,Male,92,1954-10-31,68.00 ,Sales Representative,Retail,High Net Worth,N,No,8
3926,Allistir Heckney,Male,24,1954-09-04,69.00 ,Account Executive,Manufacturing,Mass Customer,N,Yes,18
3963,Ardelle Dasent,Female,10,1954-08-22,69.00 ,Software Test Engineer II,n/a,Mass Customer,N,No,13
38,Cordi Merman,Female,37,1955-10-29,67.00 ,Senior Cost Accountant,Financial Services,Affluent Customer,N,No,20
98,Allianora Babalola,Female,19,1956-03-17,67.00 ,Safety Technician IV,Health,Mass Customer,N,No,7
113,Gage Nickless,Male,67,1956-05-06,67.00 ,Staff Scientist,n/a,Mass Customer,N,No,20
166,Elston Oleszczak,Male,54,1955-06-12,68.00 ,Structural Analysis Engineer,Manufacturing,Affluent Customer,N,No,6
275,Dud ,Male,7,1955-07-27,68.00 ,VP Sales,Health,High Net Worth,N,No,13
277,Jehanna Alvarado,Female,69,1956-02-19,67.00 ,VP Product Management,n/a,High Net Worth,N,No,15
360,Atalanta Starbucke,Female,64,1956-04-02,67.00 ,Staff Scientist,Property,Mass Customer,N,Yes,19
380,Teriann Birdsey,Female,66,1956-05-15,67.00 ,Structural Engineer,Property,Mass Customer,N,No,17
431,Gale Done,Male,8,1956-03-26,67.00 ,Research Nurse,Health,Affluent Customer,N,Yes,18
471,Libby Wardesworth,Female,82,1956-01-01,67.00 ,GIS Technical Architect,Financial Services,Affluent Customer,N,No,14
486,Prudi Edon,Female,0,1955-12-30,67.00 ,Technical Writer,Manufacturing,Affluent Customer,N,Yes,15
577,Nadean Fielding,Female,41,1956-04-08,67.00 ,NA,Property,Mass Customer,N,Yes,19
615,Rebeca Martonfi,Female,93,1956-05-11,67.00 ,Human Resources Assistant I,Property,Mass Customer,N,No,19
701,Ransell Ruler,Male,18,1956-05-01,67.00 ,Food Chemist,Health,Mass Customer,N,Yes,8
722,Stewart Brosoli,Male,69,1956-03-17,67.00 ,Marketing Manager,IT,Mass Customer,N,No,5
767,Gustav Kos,Male,70,1955-12-16,67.00 ,Budget/Accounting Analyst II,Manufacturing,High Net Worth,N,No,11
968,Wayne Woodfin,Male,96,1955-06-16,68.00 ,Accountant IV,IT,High Net Worth,N,Yes,16
1046,Shir Clevely,Female,0,1955-07-23,68.00 ,Budget/Accounting Analyst II,n/a,Affluent Customer,N,No,11
1077,Sheba Este,Female,8,1955-10-11,67.00 ,NA,Telecommunications,Mass Customer,N,Yes,18
1201,Stephani Mellhuish,Female,42,1955-11-28,67.00 ,NA,Manufacturing,Mass Customer,N,No,10
1306,Doyle Oleksinski,Male,13,1956-04-12,67.00 ,Occupational Therapist,Health,Affluent Customer,N,Yes,13
1319,Trevor St. Paul,Male,20,1955-07-18,68.00 ,NA,Entertainment,Mass Customer,N,Yes,12
1421,Mallorie Gouth,Female,74,1956-04-14,67.00 ,Senior Editor,Property,Mass Customer,N,No,20
1452,Zachery Hamber,Male,99,1955-12-31,67.00 ,Safety Technician III,Retail,Mass Customer,N,No,20
1553,Vanna Matts,Female,68,1956-05-31,67.00 ,Administrative Assistant IV,Retail,High Net Worth,N,No,7
1616,Shamus Attenbrough,Male,75,1955-08-16,68.00 ,Media Manager II,Retail,High Net Worth,N,Yes,19
1662,Xenia Willmett,Female,40,1956-04-01,67.00 ,Electrical Engineer,Manufacturing,High Net Worth,N,No,11
1675,Luke Wombwell,Male,76,1955-08-14,68.00 ,Engineer I,Manufacturing,Affluent Customer,N,Yes,14
1702,Bryn Whisby,Male,14,1956-04-03,67.00 ,Research Nurse,Health,Mass Customer,N,No,17
1745,Leigha Clawson,Female,37,1955-08-23,68.00 ,Chief Design Engineer,Financial Services,Mass Customer,N,Yes,6
1800,Dianemarie Hatherall,Female,30,1955-09-23,68.00 ,Executive Secretary,Agriculture,High Net Worth,N,No,11
2052,Ganny Sealeaf,Male,5,1955-11-30,67.00 ,NA,Retail,Mass Customer,N,Yes,8
2085,Carolynn Samsin,Female,83,1956-05-03,67.00 ,Pharmacist,Health,Mass Customer,N,No,11
2193,Roldan Carrington,Male,66,1955-12-16,67.00 ,Developer III,n/a,Mass Customer,N,Yes,6
2226,Hedvig Flatt,Female,10,1955-07-22,68.00 ,Biostatistician II,Entertainment,Mass Customer,N,No,11
2228,Rosita Soppeth,Female,12,1956-03-09,67.00 ,Geological Engineer,Manufacturing,High Net Worth,N,No,9
2254,Ann Beek,Female,36,1955-10-21,67.00 ,Programmer Analyst II,Health,Affluent Customer,N,No,18
2380,Merissa Milella,Female,44,1956-04-09,67.00 ,Technical Writer,Retail,Mass Customer,N,Yes,15
2408,Celestia ,Female,38,1955-10-10,67.00 ,VP Marketing,Health,Mass Customer,N,No,16
2485,Ringo Parkyn,Male,93,1955-07-27,68.00 ,Help Desk Technician,n/a,Mass Customer,N,Yes,12
2747,Anna-diane Crumpe,Female,5,1955-09-23,68.00 ,Software Test Engineer III,n/a,Affluent Customer,N,No,11
2818,Frazier Streak,Male,82,1956-03-08,67.00 ,Software Test Engineer I,n/a,Affluent Customer,N,No,7
2867,Lem Meegan,Male,53,1955-10-19,67.00 ,Sales Associate,n/a,High Net Worth,N,No,12
2908,Tiffy Feenan,Female,42,1955-09-21,68.00 ,Social Worker,Health,Affluent Customer,N,Yes,11
2913,Padraic Bonnar,Male,44,1955-07-11,68.00 ,VP Quality Control,IT,Affluent Customer,N,Yes,14
2972,Deena Burnsides,Female,11,1956-03-18,67.00 ,NA,n/a,High Net Worth,N,No,17
3017,Jason De Lorenzo,Male,88,1955-10-05,67.00 ,Operator,Financial Services,Affluent Customer,N,No,7
3129,Leola Mandrier,Female,44,1955-09-25,67.00 ,Analog Circuit Design manager,Property,High Net Worth,N,Yes,11
3185,Duky Crichley,Male,25,1956-01-18,67.00 ,Senior Financial Analyst,Financial Services,Mass Customer,N,No,10
3291,Cindy Eakin,Female,33,1956-01-21,67.00 ,Staff Accountant II,Manufacturing,Mass Customer,N,No,13
3330,Tina Pristnor,Female,70,1955-11-06,67.00 ,NA,Health,Mass Customer,N,Yes,18
3568,Berthe Griniov,Female,13,1955-09-15,68.00 ,Nurse,Retail,Affluent Customer,N,No,5
3599,Lane Maguire,Male,11,1956-02-27,67.00 ,Physical Therapy Assistant,n/a,High Net Worth,N,Yes,6
3748,Maurise Beal,Male,82,1956-01-10,67.00 ,Staff Scientist,n/a,Affluent Customer,N,Yes,18
3809,Angelita Itzcovichch,Female,44,1955-09-08,68.00 ,VP Quality Control,Manufacturing,Affluent Customer,N,No,11
3845,Bonnie Goracci,Female,72,1955-06-07,68.00 ,Legal Assistant,Manufacturing,Mass Customer,N,Yes,5
3846,Nariko McClymont,Female,57,1956-03-12,67.00 ,Geologist III,Manufacturing,Mass Customer,N,No,15
3859,Boonie Searle,Male,81,1956-03-20,67.00 ,Software Consultant,Manufacturing,Mass Customer,N,No,14
3899,Rex Gittings,Male,23,1955-12-28,67.00 ,Research Associate,Health,Affluent Customer,N,Yes,6
55,Linc Jillions,Male,48,1956-09-24,66.00 ,Paralegal,Financial Services,Affluent Customer,N,Yes,7
102,Langsdon Tranfield,Male,51,1956-11-27,66.00 ,Quality Control Specialist,Manufacturing,Affluent Customer,N,No,16
